CISP,AISP,ano,mcirc,ocorrencias,qtde
9,2,2019,3304557,aaapai,60
9,2,2019,3304557,ameaca,342
9,2,2019,3304557,apf,240
9,2,2019,3304557,apreensao_drogas,78
9,2,2019,3304557,apreensao_drogas_sem_autor,6
9,2,2019,3304557,cmba,33
9,2,2019,3304557,cmp,119
9,2,2019,3304557,cvli,5
9,2,2019,3304557,encontro_cadaver,1
9,2,2019,3304557,encontro_ossada,0
9,2,2019,3304557,estelionato,857
9,2,2019,3304557,estupro,17
9,2,2019,3304557,extorsao,30
9,2,2019,3304557,furto_bicicleta,118
9,2,2019,3304557,furto_celular,454
9,2,2019,3304557,furto_coletivo,230
9,2,2019,3304557,furto_transeunte,654
9,2,2019,3304557,furto_veiculos,99
9,2,2019,3304557,hom_culposo,12
9,2,2019,3304557,hom_doloso,5
9,2,2019,3304557,hom_por_interv_policial,4
9,2,2019,3304557,latrocinio,0
9,2,2019,3304557,lesao_corp_culposa,248
9,2,2019,3304557,lesao_corp_dolosa,434
9,2,2019,3304557,lesao_corp_morte,0
9,2,2019,3304557,letalidade_violenta,9
9,2,2019,3304557,pessoas_desaparecidas,28
9,2,2019,3304557,pol_civis_mortos_serv,0
9,2,2019,3304557,pol_militares_mortos_serv,0
9,2,2019,3304557,posse_drogas,48
9,2,2019,3304557,recuperacao_veiculos,46
9,2,2019,3304557,roubo_apos_saque,34
9,2,2019,3304557,roubo_banco,0
9,2,2019,3304557,roubo_bicicleta,16
9,2,2019,3304557,roubo_carga,19
9,2,2019,3304557,roubo_celular,327
9,2,2019,3304557,roubo_comercio,88
9,2,2019,3304557,roubo_conducao_saque,4
9,2,2019,3304557,roubo_cx_eletronico,0
9,2,2019,3304557,roubo_em_coletivo,111
9,2,2019,3304557,roubo_residencia,8
9,2,2019,3304557,roubo_rua,1195
9,2,2019,3304557,roubo_veiculo,211
9,2,2019,3304557,sequestro,0
9,2,2019,3304557,sequestro_relampago,0
9,2,2019,3304557,trafico_drogas,24
9,2,2020,3304557,aaapai,37
9,2,2020,3304557,ameaca,234
9,2,2020,3304557,apf,225
9,2,2020,3304557,apreensao_drogas,51
9,2,2020,3304557,apreensao_drogas_sem_autor,2
9,2,2020,3304557,cmba,9
9,2,2020,3304557,cmp,37
9,2,2020,3304557,cvli,7
9,2,2020,3304557,encontro_cadaver,2
9,2,2020,3304557,encontro_ossada,0
9,2,2020,3304557,estelionato,1071
9,2,2020,3304557,estupro,12
9,2,2020,3304557,extorsao,16
9,2,2020,3304557,furto_bicicleta,111
9,2,2020,3304557,furto_celular,483
9,2,2020,3304557,furto_coletivo,115
9,2,2020,3304557,furto_transeunte,371
9,2,2020,3304557,furto_veiculos,223
9,2,2020,3304557,hom_culposo,10
9,2,2020,3304557,hom_doloso,7
9,2,2020,3304557,hom_por_interv_policial,2
9,2,2020,3304557,latrocinio,0
9,2,2020,3304557,lesao_corp_culposa,181
9,2,2020,3304557,lesao_corp_dolosa,300
9,2,2020,3304557,lesao_corp_morte,0
9,2,2020,3304557,letalidade_violenta,9
9,2,2020,3304557,pessoas_desaparecidas,26
9,2,2020,3304557,pol_civis_mortos_serv,0
9,2,2020,3304557,pol_militares_mortos_serv,1
9,2,2020,3304557,posse_drogas,38
9,2,2020,3304557,recuperacao_veiculos,37
9,2,2020,3304557,roubo_apos_saque,16
9,2,2020,3304557,roubo_banco,0
9,2,2020,3304557,roubo_bicicleta,49
9,2,2020,3304557,roubo_carga,9
9,2,2020,3304557,roubo_celular,247
9,2,2020,3304557,roubo_comercio,37
9,2,2020,3304557,roubo_conducao_saque,1
9,2,2020,3304557,roubo_cx_eletronico,2
9,2,2020,3304557,roubo_em_coletivo,83
9,2,2020,3304557,roubo_residencia,7
9,2,2020,3304557,roubo_rua,1099
9,2,2020,3304557,roubo_veiculo,159
9,2,2020,3304557,sequestro,0
9,2,2020,3304557,sequestro_relampago,0
9,2,2020,3304557,trafico_drogas,11
9,2,2021,3304557,aaapai,37
9,2,2021,3304557,ameaca,285
9,2,2021,3304557,apf,273
9,2,2021,3304557,apreensao_drogas,115
9,2,2021,3304557,apreensao_drogas_sem_autor,2
9,2,2021,3304557,cmba,0
9,2,2021,3304557,cmp,52
9,2,2021,3304557,cvli,1
9,2,2021,3304557,encontro_cadaver,1
9,2,2021,3304557,encontro_ossada,0
9,2,2021,3304557,estelionato,1646
9,2,2021,3304557,estupro,23
9,2,2021,3304557,extorsao,29
9,2,2021,3304557,furto_bicicleta,96
9,2,2021,3304557,furto_celular,503
9,2,2021,3304557,furto_coletivo,86
9,2,2021,3304557,furto_transeunte,260
9,2,2021,3304557,furto_veiculos,298
9,2,2021,3304557,hom_culposo,12
9,2,2021,3304557,hom_doloso,1
9,2,2021,3304557,hom_por_interv_policial,2
9,2,2021,3304557,latrocinio,0
9,2,2021,3304557,lesao_corp_culposa,133
9,2,2021,3304557,lesao_corp_dolosa,254
9,2,2021,3304557,lesao_corp_morte,0
